name,kana,lat,lng,value
竹田,ﾀｹﾀ,32.97,131.4,584.5
佐伯,ｻｲｷ,32.95,131.9,375
宇目,ｳﾒ,32.85,131.68,418
蒲江,ｶﾏｴ,32.8,131.92,420.5
鰐浦,ﾜﾆｳﾗ,34.7,129.45,7.5
厳原,ｲﾂﾞﾊﾗ,34.2,129.29,8.5
美津島,ﾐﾂｼﾏ,34.29,129.33,5
芦辺,ｱｼﾍﾞ,33.8,129.72,4.5
石田,ｲｼﾀﾞ,33.75,129.79,4
平戸,ﾋﾗﾄﾞ,33.36,129.55,11
松浦,ﾏﾂｳﾗ,33.34,129.71,13.5
佐世保,ｻｾﾎﾞ,33.16,129.73,10.5
有川,ｱﾘｶﾜ,32.98,129.12,6
長浦岳,ﾅｶﾞｳﾗﾀﾞｹ,32.91,129.74,6.5
大村,ｵｵﾑﾗ,32.92,129.91,3
諫早,ｲｻﾊﾔ,32.84,130.03,4.5
長崎,ﾅｶﾞｻｷ,32.73,129.87,6.5
雲仙岳,ｳﾝｾﾞﾝﾀﾞｹ,32.74,130.26,13.5
雲仙岳,ｳﾝｾﾞﾝﾀﾞｹ,32.74,130.25,13.5
島原,ｼﾏﾊﾞﾗ,32.76,130.36,22.5
福江,ﾌｸｴ,32.69,128.83,11
上大津,ｶﾐｵｵﾂﾞ,32.67,128.83,11.5
口之津,ｸﾁﾉﾂ,32.61,130.19,23.5
唐津,ｶﾗﾂ,33.46,129.96,815.5
北山,ﾎｸｻﾞﾝ,33.41,130.22,1153.5
鳥栖,ﾄｽ,33.39,130.52,1328
伊万里,ｲﾏﾘ,33.27,129.88,1025
佐賀,ｻｶﾞ,33.27,130.31,1086
嬉野,ｳﾚｼﾉ,33.12,130,1094
白石,ｼﾛｲｼ,33.18,130.15,880.5
川副,ｶﾜｿｴ,33.15,130.3,1057
鹿北,ｶﾎｸ,33.12,130.69,1342
南小国,ﾐﾅﾐｵｸﾞﾆ,33.1,131.07,1110.5
岱明,ﾀｲﾒｲ,32.92,130.51,963.5
菊池,ｷｸﾁ,32.95,130.78,1005
阿蘇乙姫,ｱｿｵﾄﾋﾒ,32.95,131.04,1148.5
熊本,ｸﾏﾓﾄ,32.81,130.71,847.5
熊本,ｸﾏﾓﾄ,32.82,130.72,847.5
益城,ﾏｼｷ,32.84,130.86,923.5
南阿蘇,ﾐﾅﾐｱｿ,32.83,131.01,1309.5
高森,ﾀｶﾓﾘ,32.82,131.13,835.5
宇土,ｳﾄ,32.7,130.66,767
山都,ﾔﾏﾄ,32.71,130.96,1213.5
三角,ﾐｽﾐ,32.61,130.48,884.5
甲佐,ｺｳｻ,32.65,130.81,1007.5
松島,ﾏﾂｼﾏ,32.52,130.45,866
本渡,ﾎﾝﾄﾞ,32.47,130.18,850.5
八代,ﾔﾂｼﾛ,32.47,130.61,776.5
田浦,ﾀﾉｳﾗ,32.36,130.51,1103.5
山江,ﾔﾏｴ,32.3,130.75,1360.5
五木,ｲﾂｷ,32.4,130.83,1463
水俣,ﾐﾅﾏﾀ,32.21,130.41,1164
一勝地,ｲｯｼｮｳﾁ,32.25,130.65,1015
人吉,ﾋﾄﾖｼ,32.22,130.76,1102.5
上,ｳｴ,32.23,130.91,1247
多良木,ﾀﾗｷﾞ,32.3,130.95,1299
湯前横谷,ﾕﾉﾏｴﾖｺﾀﾆ,32.26,131.04,1559.5
牛深,ｳｼﾌﾞｶ,32.2,130.03,1342
高千穂,ﾀｶﾁﾎ,32.71,131.29,664
古江,ﾌﾙｴ,32.71,131.82,436.5
鞍岡,ｸﾗｵｶ,32.64,131.16,747.5
日之影,ﾋﾉｶｹﾞ,32.68,131.41,527.5
諸塚,ﾓﾛﾂｶ,32.52,131.34,684
北方,ｷﾀｶﾀ,32.56,131.53,573
延岡,ﾉﾍﾞｵｶ,32.58,131.66,452
延岡,ﾉﾍﾞｵｶ,32.58,131.63,452
椎葉,ｼｲﾊﾞ,32.48,131.1,1113
日向,ﾋｭｳｶﾞ,32.41,131.6,504
神門,ﾐｶﾄﾞ,32.39,131.33,772.5
西米良,ﾆｼﾒﾗ,32.24,131.15,1167.5
都農,ﾂﾉ,32.28,131.54,667.5
高鍋,ﾀｶﾅﾍﾞ,32.12,131.48,738.5
加久藤,ｶｸﾄｳ,32.05,130.81,1185
西都,ｻｲﾄ,32.06,131.41,705.5
えびの,ｴﾋﾞﾉ,31.95,130.84,1577
小林,ｺﾊﾞﾔｼ,32,130.95,822.5
野尻,ﾉｼﾞﾘ,31.96,131.16,540.5
国富,ｸﾆﾄﾐ,32.01,131.3,730
宮崎,ﾐﾔｻﾞｷ,31.94,131.41,646
田野,ﾀﾉ,31.84,131.31,705
赤江,ｱｶｴ,31.88,131.45,622.5
都城,ﾐﾔｺﾉｼﾞｮｳ,31.73,131.08,958
深瀬,ﾌｶｾ,31.64,131.25,1259.5
油津,ｱﾌﾞﾗﾂ,31.58,131.41,694
油津,ｱﾌﾞﾗﾂ,31.6,131.41,694
串間,ｸｼﾏ,31.47,131.22,731
阿久根,ｱｸﾈ,32.03,130.2,968
出水,ｲｽﾞﾐ,32.09,130.35,933
大口,ｵｵｸﾁ,32.05,130.63,1239.5
紫尾山,ｼﾋﾞｻﾝ,31.98,130.37,1353.5
さつま柏原,ｻﾂﾏｶｼﾜﾊﾞﾙ,31.92,130.46,954.5
中甑,ﾅｶｺｼｷ,31.84,129.87,824
川内,ｾﾝﾀﾞｲ,31.83,130.32,750
溝辺,ﾐｿﾞﾍﾞ,31.8,130.72,903.5
八重山,ﾔｴﾔﾏ,31.75,130.44,882.5
東市来,ﾋｶﾞｼｲﾁｷ,31.67,130.33,619
牧之原,ﾏｷﾉﾊﾗ,31.66,130.84,878.5
鹿児島,ｶｺﾞｼﾏ,31.56,130.55,711
輝北,ｷﾎｸ,31.59,130.86,926
大隅,ｵｵｽﾐ,31.58,131.01,1071
加世田,ｶｾﾀﾞ,31.42,130.33,725.5
吉ケ別府,ﾖｼｶﾞﾍﾞｯﾌﾟ,31.46,130.86,1305.5
志布志,ｼﾌﾞｼ,31.48,131.1,1023.5
喜入,ｷｲﾚ,31.39,130.54,907
鹿屋,ｶﾉﾔ,31.39,130.86,1390
肝付前田,ｷﾓﾂｷﾏｴﾀﾞ,31.34,130.94,731
枕崎,ﾏｸﾗｻﾞｷ,31.27,130.29,632.5
指宿,ｲﾌﾞｽｷ,31.25,130.64,1096
内之浦,ｳﾁﾉｳﾗ,31.28,131.06,727
田代,ﾀｼﾛ,31.2,130.84,713.5
佐多,ｻﾀ,31.09,130.69,776
種子島,ﾀﾈｶﾞｼﾏ,30.72,130.98,666
中種子,ﾅｶﾀﾈ,30.61,130.99,601
上中,ｶﾐﾅｶ,30.41,130.9,630
屋久島,ﾔｸｼﾏ,30.39,130.66,673.5
尾之間,ｵﾉｱｲﾀﾞ,30.24,130.56,658.5
中之島,ﾅｶﾉｼﾏ,29.84,129.87,664
平島,ﾀｲﾗｼﾞﾏ,29.68,129.53,600.5
諏訪之瀬島,ｽﾜﾉｾｼﾞﾏ,29.61,129.71,669.5
小宝島,ｺﾀﾞｶﾗｼﾞﾏ,29.23,129.33,336.5
宝島,ﾀｶﾗｼﾞﾏ,29.15,129.2,332.5
笠利,ｶｻﾘ,28.43,129.71,70.5
名瀬,ﾅｾﾞ,28.38,129.5,158
喜界島,ｷｶｲｼﾞﾏ,28.32,129.93,60
古仁屋,ｺﾆﾔ,28.14,129.32,168.5
天城,ｱﾏｷﾞ,27.84,128.88,180
伊仙,ｲｾﾝ,27.68,128.97,132
沖永良部,ｵｷﾉｴﾗﾌﾞ,27.43,128.71,142.5
与論島,ﾖﾛﾝｼﾞﾏ,27.04,128.4,217.5
